Aisle,Location,Scan Date,Occupancy,Barcode,Expected,Scanned,Status,Sub Status,Result Age,Barcode actually scanned at,Barcode should be at,Client,Assignee,Comment,Hidden
AU 2,AU02A01,2024-06-15 03:24:32,Occupied,298741,Yes,Yes,Correct,Contains expected item,22,,,AMPHENOL,,,
AU 2,AU02A02,2024-06-15 03:24:32,Occupied,298691,Yes,Yes,Correct,Contains expected item,22,,,AMPHENOL,,,
AU 2,AU02A03,2024-06-15 03:24:32,Occupied,298692,Yes,Yes,Correct,Contains expected item,22,,,AMPHENOL,,,
AU 2,AU02B01,2024-06-15 03:24:32,Occupied,298740,Yes,Yes,Correct,Contains expected item,22,,,AMPHENOL,,,
AU 2,AU02B02,2024-06-15 03:24:32,Occupied,298713,Yes,Yes,Correct,Contains expected item,22,,,AMPHENOL,,,
AU 2,AU02B03,2024-06-15 03:24:32,Occupied,298714,Yes,Yes,Correct,Contains expected item,22,,,AMPHENOL,,,
AU 2,AU02C01,2024-06-15 03:24:32,Occupied,299076,Yes,Yes,Correct,Contains expected item,22,,,AMPHENOL,,,
AU 2,AU02C02,2024-06-15 03:24:32,Occupied,173212,Yes,No,Correct,Contains expected items,22,,,ADEXA,,,
AU 2,AU02C02,2024-06-15 03:24:32,Occupied,299098,Yes,Yes,Correct,Contains expected items,22,,,AMPHENOL,,,
AU 2,AU02C03,2024-06-15 03:24:32,Occupied,299103,Yes,Yes,Correct,Contains expected item,22,,,AMPHENOL,,,
AU 2,AU02D01,2024-06-15 03:24:32,Occupied,299096,Yes,Yes,Correct,Contains expected item,22,,,AMPHENOL,,,
AU 2,AU02D02,2024-06-15 03:24:32,Occupied,299101,Yes,Yes,Correct,Contains expected item,22,,,AMPHENOL,,,
AU 2,AU02D03,2024-06-15 03:24:32,Occupied,299102,Yes,Yes,Correct,Contains expected item,22,,,AMPHENOL,,,
AU 2,AU02E01,2024-06-15 03:24:32,Occupied,299097,Yes,Yes,Correct,Contains expected item,22,,,AMPHENOL,,,
AU 2,AU02E02,2024-06-15 03:24:32,Occupied,299100,Yes,Yes,Correct,Contains expected item,22,,,AMPHENOL,,,
AU 2,AU02E03,2024-06-15 03:24:32,Occupied,299094,Yes,Yes,Correct,Contains expected item,22,,,AMPHENOL,,,
AU 2,AU02F01,2024-06-15 03:24:32,Occupied,299099,Yes,Yes,Correct,Contains expected item,22,,,AMPHENOL,,,
AU 2,AU02F02,2024-06-15 03:24:32,Occupied,299075,Yes,Yes,Correct,Contains expected item,22,,,AMPHENOL,,,
AU 2,AU02F03,2024-06-15 03:24:32,Occupied,299095,Yes,Yes,Correct,Contains expected item,22,,,AMPHENOL,,,
AU 2,AU02G01,2024-06-15 03:24:32,Empty,,,,Correct,Empty as expected,22,,,,,,
AU 2,AU02G02,2024-06-15 03:24:32,Empty,,,,Correct,Empty as expected,22,,,,,,
AU 2,AU02G03,2024-06-15 03:24:32,Empty,,,,Correct,Empty as expected,22,,,,,,
AU 2,AU02H01,2024-06-15 03:24:32,Empty,,,,Correct,Empty as expected,22,,,,,,
AU 2,AU02H02,2024-06-15 03:24:32,Empty,,,,Correct,Empty as expected,22,,,,,,
AU 2,AU02H03,2024-06-15 03:24:32,Empty,,,,Correct,Empty as expected,22,,,,,,
AU 2,AU02J01,2024-06-15 03:24:32,Empty,,,,Correct,Empty as expected,22,,,,,,
AU 2,AU02J02,2024-06-15 03:24:32,Empty,,,,Correct,Empty as expected,22,,,,,,
AU 2,AU02J03,2024-06-15 03:24:32,Empty,,,,Correct,Empty as expected,22,,,,,,
AU 2,AU04A01,2024-06-15 03:24:32,Occupied,298695,Yes,Yes,Correct,Contains expected item,22,,,AMPHENOL,,,
AU 2,AU04A02,2024-06-15 03:24:32,Occupied,298696,Yes,Yes,Correct,Contains expected item,22,,,AMPHENOL,,,
AU 2,AU04A03,2024-06-15 03:24:32,Occupied,298697,Yes,Yes,Correct,Contains expected item,22,,,AMPHENOL,,,
AU 2,AU04B01,2024-06-15 03:24:32,Occupied,298712,Yes,Yes,Correct,Contains expected item,22,,,AMPHENOL,,,
AU 2,AU04B02,2024-06-15 03:24:32,Occupied,298722,Yes,Yes,Correct,Contains expected item,22,,,AMPHENOL,,,
AU 2,AU04B03,2024-06-15 03:24:32,Occupied,298711,Yes,Yes,Correct,Contains expected item,22,,,AMPHENOL,,,
AU 2,AU04C01,2024-06-15 03:24:32,Occupied,299107,Yes,Yes,Correct,Contains expected item,22,,,AMPHENOL,,,
